MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,RECOVERY,ACTIVE,NOTES
Beating Kick Low Combo,"PAN 4, 2, 1, 2, 3","high, mid, mid, mid, low",2.5,1.5,-,-,NO,NCc,-,"26 [31], 12, 12, 8, 12",i23,-17,-6,-,TAIL SPIN,-35,"5, 1, 1, 1, 1",-
-,"PAN (4), 2, 1, 2, 3","mid, mid, mid, low",1.5,1.75,-,-,NO,NO,-,"12 [14], 12, 8, 12",i14,-17,-6,-,FLOAT,-35,"1, 1, 1, 1",-
-,"PAN (4), (2), 1, 2, 3","mid, mid, low",0.5,1.75,-,-,NO,NO,-,"12 [14], 8, 12",i9,-17,-6,-,FLOAT,-35,"1, 1, 1",-
-,"PAN (4), (2), (1), 2, 3","mid, low",0.5,1.75,-,-,NO,NCc,-,"8 [9], 12",i15,-17,-6,-,FLOAT,-35,"1, 1",-
-,"PAN (4), (2), (1), (2), 3",low,1.5,1.5,SSL / SSR,-,-,-,-,12 [14],i21,-17,-6,KND,FLOAT,-35,1,-
Beating Kick Mid Combo,"PAN 4, 2, 1, 2, 4","high, mid, mid, mid, mid",2.5,1.5,-,-,NO,NCc,WALL BREAK / SPLAT,"26 [31], 12, 12, 8, 12",i23,-9,KND,-,TAIL SPIN,-27,"5, 1, 1, 1, 1",-
-,"PAN (4), 2, 1, 2, 4","mid, mid, mid, mid",1.5,0.5,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 12, 8, 12",i14,-9,KND,-,FLOAT,-27,"1, 1, 1, 1",-
-,"PAN (4), (2), 1, 2, 4","mid, mid, mid",0.5,1,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 8, 12",i9,-9,KND,-,FLOAT,-27,"1, 1, 1",-
-,"PAN (4), (2), (1), 2, 4","mid, mid",0.5,1,-,-,NO,NCc,WALL BREAK / SPLAT,"8 [9], 12",i15,-9,KND,-,FLOAT,-27,"1, 1",-
-,"PAN (4), (2), (1), (2), 4",mid,1.5,0.5,-,-,-,-,WALL BREAK / SPLAT,12 [14],i21,-9,KND,KND,FLOAT,-27,1,-
INTO PHOENIX ILLUSION,,,,,,,,,,,,,,,,,,
Phoenix Illusion,b+1+4,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-
-,"3, B",high,1.75,1.5,-,-,-,-,-,30 [36],i14,-42,-37,-36,S!,-14,1,-
Turbulent Winds,"f, F+4, 3+4, B","high, high",1.5,1,-,low,-,-,-,"21 [25], 21",i15,-73,-62,-,FLOAT,-32,5,-
Scythe Kick,"u/b+4, B",mid,1,3,-,-,-,-,-,20 [24],i15,-73,KND,KND,BACK FLIP,-,1,-
Ballroom Dance,"FC d/f+2, 1, 4","low, low, mid",2,0.5,-,high,NO,NCc,-,"10 [12], 10, 18",i18,-46,-35,-,FLOAT,-,"2, 1, 1",-
-,"FC (d/f+2), 1, 4","low, mid",1,0.5,-,high,NO,NCc,-,"10 [12], 18",i16,-46,-35,-,FLOAT,-,"1, 1",-
-,"FC (d/f+2), (1), 4",mid,1.5,1.5,SSL / SSR,high,-,-,-,18 [21],i29,-46,-35,-35,FLOAT,-,1,-
-,"PHX 3, B",high,1.75,1.5,-,-,-,-,-,30 [36],i14,-36,-37,-36,S!,-,1,-
-,"DRU 3, 2, 4, B","low, mid, mid",1.5,3,-,-,NO,NC,-,"13 [15], 20, 12",i17,-21,KND,-,FLOOR BREAK,-,"1, 2, 1, 3",-
DURING PHOENIX ILLUSION,,,,,,,,,,,,,,,,,,
-,PHX d/b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-37,-,-
-,PHX 1,high,2,2.5,SSL / SSR,-,-,-,WALL BREAK / SPLAT,24 [28],i30,-10,KND,KND,FLOAT,-28,1,-
-,PHX 3,high,1.5,2,SWL,-,-,-,-,28 [33],i14,-14,-4,-4,S!,-32,1,-
Hopping Phoenix,PHX b+3,mid,1.5,0.25,-,-,-,-,WALL BREAK / SPLAT,17 [20],i14,-36,-5,STUN,FLOAT,-15,1,-
INTO PLAY DEAD (FEET FIRST),,,,,,,,,,,,,,,,,,
Play Dead (Feet first),d+3+4,-,-,-,-,"high, mid",-,-,-,-,24,-,-,-,-,-,-,-
-,4~4,low,2,0.5,-,"high, mid",-,-,-,7 [8],i15,-15,-4,-4,FLOAT,-34,1,-
-,"4~4, 3","low, low",2,0.25,-,"high, mid",NO,NCc,-,"7 [8], 7",i15,-2,+9,-,FLOAT,-21,"1, 1",-
-,"(4~4), 3",low,1,0.25,SSR,"high, mid",-,-,-,7 [8],i23,-2,+9,+9,FLOAT,-21,1,-
Lift Up Cannon,"4~4, 3, 3","low, low, mid",2,0.25,-,-,NO,NO,-,"7 [8], 7, 24",i15,-7,LAUNCH,-,BACK FLIP,-35,"1, 1, 2",-
-,"(4~4), 3, 3","low, mid",1,0.25,-,-,NO,NCc,-,"7 [8], 24",i23,-7,LAUNCH,-,BACK FLIP,-35,"1, 2",-
-,"(4~4), (3), 3",mid,1,0.25,-,-,-,-,-,24 [28],i29,-7,LAUNCH,LAUNCH,BACK FLIP,-35,2,-
-,"u+1+2, D",-,5.5,0,-,low,-,-,-,-,55,-,-,-,-,-,-,-
Dragon's Whip,"f, F+3+4",mid,3,0.5,-,low,-,-,WALL BREAK / SPLAT,25 [30],i24,+2,KND,KND,FLOAT,-25,3,-
Falling Blade,"SS 3+4, D",mid,3,0,-,-,-,-,-,15 [18],i24,-46,-41,-41,FLOOR BREAK,-,3,-
Tiger Sip,"DRU 1+2, 1+2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drunken Stupor,DRU u/b+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DURING INTO PLAY DEAD (FEET FIRST),,,,,,,,,,,,,,,,,,
-,PLD 2,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
Lotus Cutter,PLD 3,low,1.5,0.25,SWL / SWR,"high, mid",-,-,-,14 [16],i19,-37,KND,KND,FLOAT,-48,5,-
Dan Jiao,PLD 4,mid,2,0,HOMING,high,-,-,WALL BREAK / SPLAT,17 [20],i25,-13,+11,+11,S!,-30,2,-
-,PLD b+3+4,mid,0,0,-,-,-,-,-,20 [24],i30,-5,KND,KND,FLOAT,-22,2,-
INTO PLAY DEAD (HEAD FIRST),,,,,,,,,,,,,,,,,,
Play Dead (Head first),d+2+3,-,-,-,-,"high, mid",-,-,-,-,25,-,-,-,-,-,-,-
Falling Tree,BT u/f+2,mid,1.5,0.25,-,low,-,-,-,25 [30],i32,-14,-3,-3,FLOOR BREAK,-33,6,-
Low Kick to Play Dead,FCD 3~4 (clean hit),low,3,0.25,-,"high, mid",-,-,-,12 [14],i24,-26,KND,KND,FLOAT,-34,2,-
Low Kick to Play Dead,FCD 3~4 (far),low,3,1,-,"high, mid",-,-,-,8 [9],i24,-26,-10,-10,FLOAT,-34,2,-
DURING INTO PLAY DEAD (HEAD FIRST),,,,,,,,,,,,,,,,,,
-,KND 3 (clean hit),low,1.5,0.25,SWL / SSR,"high, mid",-,-,-,12 [14],i20,-26,LAUNCH,LAUNCH,FLOAT,-32,2,-
-,KND 3 (far),low,1.5,1,SWL / SSR,"high, mid",-,-,-,8 [9],i20,-26,+2,+2,FLOAT,-32,2,-
Leaping Double Slicer,"KND 3, 4","low, high",1.5,0.25,-,-,NO,NC,WALL BREAK / SPLAT,"8 [9], 21",i20,-26,KND,-,TAIL SPIN,-31,"2, 6",-
-,"KND (3), 4",high,2,0,-,low,-,-,WALL BREAK / SPLAT,30 [36],i31,-10,KND,KND,TAIL SPIN,-31,6,-
Spring Kick,KND 4,mid,1.5,1,SSL / SSR,-,-,-,WALL SPLAT,20 [24],i22,-12,LAUNCH,LAUNCH,BACK FLIP,-29,2,-
Po Long Sheng Tui,KND 3+4,"low, s.mid",1.5,1,SSL / SSR,high,-,-,-,"12 [14], 9",i20,-26,KND,KND,TAIL SPIN,-43,"5, 2",-
DURING PLAY DEAD / SIDEWIND,,,,,,,,,,,,,,,,,,
Turn Over,FCD or SLD 1 (or d+1),-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-
Meng Xian,FCD or SLD 2 (or While facing down... 2),-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
Turn Over,KND or PLD 1 (or d+1),-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-
Meng Xian,KND or PLD 2 (or While facing down... 2),-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
Hangover,KND or PLD 1+2+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INTO SIDEWIND (FEET FIRST),,,,,,,,,,,,,,,,,,
Sidewind (Feet first),d+1+2,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
Mule Kick,d/b+3+4,mid,1.5,0.25,-,-,-,-,-,22 [26],i19,-21,KND,KND,FLOAT,-38,2,-
Clean Sweep,4~3,mid,3.75,1,SSR,high,-,-,WALL BREAK / SPLAT,25 [30],i29,-16,+4,+4,S!,-36,4,-
-,BT d+1+4,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
-,PLD 1,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
Clean Sweep,FCD 4~3,mid,2.5,0.75,-,high,-,-,WALL BREAK / SPLAT,20 [24],i21,-16,+4,+4,S!,-36,4,-
DURING SIDEWIND (FEET FIRST),,,,,,,,,,,,,,,,,,
Maelstrom Sweep,FCD 3,low,2.5,0.25,-,"high, mid",-,-,-,21 [25],i24,-37,KND,KND,FLOAT,-,-,-
-,"FCD 3~4, D (clean hit)",low,3,0.25,SSR,"high, mid",-,-,-,12 [14],i24,-26,KND (FUFA),KND (FUFA),FLOAT,-,-,-
-,"FCD 3~4, D (far)",low,3,0.25,SSR,"high, mid",-,-,-,8 [9],i24,-26,-10 (FUFA),-10 (FUFA),FLOAT,-,-,-
-,"FCD 4~3, D",mid,2.5,0.75,-,"high, mid",-,-,WALL BREAK / SPLAT,20 [24],i21,-16,+4  (FDFT),+4  (FDFT),S!,-,-,-
Fu Qin Tian Jiao,FCD 3+4,"mid, mid",1,0.25,SSR,high,-,-,WALL BREAK / SPLAT,"5 [6], 20",i22,-7,KND,KND,TAIL SPIN,-,-,-
INTO SIDEWIND (HEAD FIRST),,,,,,,,,,,,,,,,,,
Sidewind (Head first),d+1+4,-,-,-,-,"high, mid",-,-,-,-,25,-,-,-,-,-,-,-
Backfist Elbow Drop,"BT 1+2, 2","high, mid",1.5,0,-,-,NO,NO,-,"12 [14], 18",10,-19,-3 (OC),-,FLOOR BREAK,-33,"3, 5",-
-,"BT (1+2), 2",mid,2,0,-,-,-,-,-,18 [21],i37,-19,-3 (OC),+5 (OC),FLOOR BREAK,-33,5,-
Drunken Fall,DRU u/f+1+2,mid,2.5,0,-,low,-,-,-,21 [25],i30,-9,-6,KND,FLOOR BREAK,-36,4,-
Phoenix Drunken Tiger Stumble,"PHX 1, D",high,2,0.25,-,-,-,-,WALL BREAK / SPLAT,24 [28],i30,-21,KND,KND,FLOAT,-39,1,-
-,"PHX (1), D+2",low,1.25,0.25,-,"high, mid",-,-,-,14 [16],i6,-15,0,0,FLOAT,-33,"1, 1",-
DURING SIDEWIND (HEAD FIRST),,,,,,,,,,,,,,,,,,
Sliding Kick,SLD 4~3,low,2.5,0,SSL,"high, mid",-,-,-,15 [18],i24,-24,KND,KND,FLOAT,-38,5,-
-,"SLD 4~3, D",low,2.5,0,-,"high, mid",-,-,-,15 [18],i24,-24,KND,KND,FLOAT,-39,5,-
Bicycle Kicks,SLD 3+4,"mid, mid",1.5,0,SSL / SSR,-,-,-,WALL BREAK / SPLAT,"5 [6], 21",i18,-20,KND,KND,FLOAT,-36,"1, 1, 1",-
-,"SLD 3+4, D","mid, mid",1.5,0,-,-,-,-,WALL BREAK / SPLAT,"5 [6], 21",i18,-20,KND,KND,FLOAT,-37,"1, 1, 1",-
Deadly Current,SLD d+3+4,low,1.5,2.5,SSL,"high, mid",-,-,-,23 [27],i29,-42,KND,KND,FLOAT,-,2,-
INTO SNAKE,,,,,,,,,,,,,,,,,,
Five Gates Form - Snake,3+4,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-
-,"1, 1, F","high, high",1.5,1,-,-,YES,NC,-,"7 [8], 12",i10,-5,+6,-,FLOAT,-,-,-
Razor Rush Snake,"f, n, 1, u (or d)",mid,2,0.5,-,-,-,-,-,9 [10],i12,-2,+7,+7,FLOAT,-18,1,-
-,"d/f+2, F",mid,1.5,0,-,-,-,-,WALL SPLAT,12 [14],i15,-9,LAUNCH,LAUNCH,FLOAT,-13,1,-
-,"d+4, D",low,1.5,1.5,-,-,-,-,-,10 [12],i12,-14,-2,-2,FLOAT,-26,2,-
-,"d/b+4 (clean hit), U (or D)",low,1.75,0.25,-,"high, mid",-,-,-,12 [14],i20,-26,KND,KND,FLOAT,-19,1,-
-,"d/b+4 (far), U (or D)",low,1.75,0.25,-,"high, mid",-,-,-,8 [9],i20,-26,+6,+6,FLOAT,-19,1,-
-,"BT d+4 (clean hit), U (or D)",low,2,0.25,-,"high, mid",-,-,-,12 [14],i20,-26,STUN,STUN,FLOAT,-19,1,-
-,"BT d+4 (far), U (or D)",low,2,0.25,-,"high, mid",-,-,-,8 [9],i20,-26,+6,+6,FLOAT,-19,1,-
Phoenix Cutter,PHX 4,low,2.5,0.25,-,-,-,-,-,19 [22],i25,-14,+2,+12,FLOAT,-30,3,-
-,PHX d (or u)+2+3,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-
-,"KND 3 (clean hit), U (or D)",low,1.5,0.25,-,"high, mid",-,-,-,12 [14],i20,-26,STUN,STUN,FLOAT,-19,1,-
-,"KND 3 (far), U (or D)",low,1.5,1,-,"high, mid",-,-,-,8 [9],i20,-26,+6,+6,FLOAT,-19,1,-
-,"SNA 1, 1, F","high, high",2,0.5,-,-,YES,NC,-,"10 [12], 9",i11,-6,+5,-,FLOAT,-17,"1, 1",-
-,"SNA 1, 1, 1, F","high, high, high",2,1,-,-,YES,NC,-,"10 [12], 9, 8",i11,-9,+2,-,FLOAT,-17,"1, 1, 1",-
-,"SNA 1, 1, 1, 1, F","high, high, high, high",2,1,-,-,YES,NO,-,"10 [12], 9, 8, 7",i11,-6,+2,-,FLOAT,-17,"1, 1, 1, 1",-
-,"SNA 1, 1, 1, 1, 1, F","high, high, high, high, high",2,1,-,-,YES,NO,-,"10 [12], 9, 8, 7, 6",i11,-9,+2,-,FLOAT,-17,"1, 1, 1, 1, 1",-
DURING SNAKE,,,,,,,,,,,,,,,,,,
-,SNA 1,high,2,0.25,-,-,-,-,-,10 [12],i11,-6,+5,+5,FLOAT,-24,1,-
-,"SNA 1, 1","high, high",2,0.5,-,-,YES,NC,-,"10 [12], 9",i11,-6,+5,-,FLOAT,-24,"1, 1",-
-,"SNA (1), 1",high,1,1,-,-,-,-,-,9 [10],i12,-6,+5,+5,FLOAT,-24,1,-
-,"SNA 1, 1, 1","high, high, high",2,1,-,-,YES,NC,-,"10 [12], 9, 8",i11,-6,+5,-,FLOAT,-24,"1, 1, 1",-
-,"SNA (1), 1, 1","high, high",1,1,-,-,YES,NC,-,"9 [10], 8",i11,-6,+5,-,FLOAT,-24,"1, 1",-
-,"SNA (1), (1), 1",high,1,1,-,-,-,-,-,8 [9],i12,-6,+5,+5,FLOAT,-24,1,-
-,"SNA 1, 1, 1, 1","high, high, high, high",2,1,-,-,YES,NO,-,"10 [12], 9, 8, 7",i11,-6,+5,-,FLOAT,-24,"1, 1, 1, 1",-
-,"SNA (1), 1, 1, 1","high, high, high",1,1,-,-,YES,NO,-,"9 [10], 8, 7",i11,-6,+5,-,FLOAT,-24,"1, 1, 1",-
-,"SNA (1), (1), 1, 1","high, high",1,1,-,-,YES,NCc,-,"8 [9], 7",i12,-6,+5,-,FLOAT,-24,"1, 1",-
-,"SNA (1), (1), (1), 1",high,1,1,-,-,-,-,-,7 [8],i12,-6,+5,+5,FLOAT,-24,1,-
-,"SNA 1, 1, 1, 1, 1","high, high, high, high, high",2,1,-,-,YES,NO,-,"10 [12], 9, 8, 7, 6",i11,-6,+5,-,FLOAT,-24,"1, 1, 1, 1, 1",-
Rushing Snake,"SNA (1), 1, 1, 1, 1","high, high, high, high",1,1,-,-,YES,NO,-,"9 [10], 8, 7, 6",i11,-6,+5,-,FLOAT,-24,"1, 1, 1, 1",-
-,"SNA (1), (1), 1, 1, 1","high, high, high",1,1,-,-,YES,NO,-,"8 [9], 7, 6",i12,-6,+5,-,FLOAT,-24,"1, 1, 1",-
-,"SNA (1), (1), (1), 1, 1","high, high",1,1,-,-,YES,NCc,-,"7 [8], 6",i12,-6,+5,-,FLOAT,-24,"1, 1",-
-,"SNA (1), (1), (1), (1), 1",high,1,1,-,-,-,-,-,6 [7],i12,-6,+5,+5,FLOAT,-24,1,-
-,"SNA 1, 2","high, mid",2,0,-,-,YES,NC,-,"10 [12], 13",i11,-13,-2,-,FLOAT,-31,"1, 1",-
-,"SNA (1), 2",mid,0.5,0.25,-,-,-,-,-,13 [15],i13,-13,-2,-2,FLOAT,-31,1,-
-,"SNA 1, 2, 1","high, mid, mid",2,0.25,-,-,YES,NC,-,"10 [12], 13, 10",i11,-10,+1,-,FLOAT,-28,"1, 1, 1",-
-,"SNA (1), 2, 1","mid, mid",0.5,0.5,-,-,YES,NC,-,"13 [15], 10",i13,-10,+1,-,FLOAT,-28,"1, 1",-
-,"SNA (1), (2), 1",mid,0.5,0.5,-,-,-,-,-,10 [12],i10,-10,+1,+1,FLOAT,-28,1,-
Snapping Snake,"SNA 1, 2, 1, 2","high, mid, mid, high",2,2.5,-,-,NO,NO,WALL BREAK / SPLAT,"10 [12], 13, 10, 20",i11,-8,KND,-,FLOAT,-31,"1, 1, 1, 1",-
-,"SNA (1), 2, 1, 2","mid, mid, high",0.5,2.5,-,-,NO,NO,-,"13 [15], 10, 20",i13,-8,KND,-,FLOAT,-31,"1, 1, 1",-
-,"SNA (1), (2), 1, 2","mid, high",0.5,2.5,-,-,NO,NCc,-,"10 [12], 20",i10,-8,KND,-,FLOAT,-31,"1, 1",-
-,"SNA (1), (2), (1), 2",high,1,2.5,SSR,-,-,-,-,20 [24],i23,-8,KND,KND,FLOAT,-31,1,-
-,SNA 2,mid,2,1,SSL,-,-,-,-,15 [18],i15,-10,+1,+1,FLOAT,-28,1,-
-,"SNA 2, 2","mid, mid",2,0.25,-,-,YES,-,-,"15 [18], 10",i15,-12,-1,-,FLOAT,-23,"1, 1",-
-,"SNA (2), 2",mid,1.5,0.5,SSL,-,-,-,-,10 [12],i16,-12,-1,-1,FLOAT,-23,1,-
-,"SNA 2, 2, 2","mid, mid, mid",2,0.5,-,-,NO,NC,-,"15 [18], 10, 15",i15,-17,-1,-,FLOAT,-35,"1, 1, 1",-
-,"SNA (2), 2, 2","mid, mid",1.5,0.25,-,-,NO,NC,-,"10 [12], 15",i16,-17,-1,-,FLOAT,-35,"1, 1",-
Snake Bites,"SNA (2), (2), 2",mid,1,1.5,SSL / SSR,-,-,-,-,15 [18],i22,-17,-1,-1,FLOAT,-35,1,-
Rattlesnake,SNA 3,mid,2,0.25,-,-,-,-,WALL SPLAT,30 [36],i28,-7,LAUNCH,LAUNCH,FLOAT,-30,1,-
Snake Low Kick,SNA 4,low,1.75,0.25,SSL / SSR,-,-,-,-,11 [13],i15,-13,-2,-2,FLOAT,-31,1,-
Angry Viper,SNA 1+2,mid,1.75,1,SSR,-,-,-,WALL BREAK / SPLAT,25 [30],i21,-10,KND,KND,FLOAT,-32,2,-
INTO TIGER,,,,,,,,,,,,,,,,,,
Five Gates Form - Tiger,"3+4, 3",-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-
Razor Rush Tiger,"f, n, 1, 2, 1, 2, u (or d)","mid, mid, mid, mid",2,0.5,-,-,NO,NCc,-,"9 [10], 9, 9, 9",i12,-12,+1,-,FLOAT,-28,"1, 1, 1, 1",-
-,"f, n, (1), 2, 1, 2, u (or d)","mid, mid, mid",0.75,1,-,-,NO,NO,-,"9 [10], 9, 9",i12,-12,+1,-,FLOAT,-28,"1, 1, 1",-
-,"f, n, (1), (2), 1, 2, u (or d)","mid, mid",1,1,-,-,NO,NCc,-,"9 [10], 9",i15,-12,+1,-,FLOAT,-28,"1, 1",-
-,"f, n, (1), (2), (1), 2, u (or d)",mid,1,0.5,-,-,-,-,-,9 [10],i15,-14,+1,+1,FLOAT,-28,1,-
-,"f, n, (1), (2), (1), (2), u (or d)",-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-
-,"f, n, 4, 1, F","high, mid",1.5,0.5,-,-,NO,NC,-,"18 [21], 12",i10,-16,-10,-,FLOAT,-17,"1, 1",-
-,"f, n, (4), 1, F",mid,1.5,1.5,-,-,-,-,-,12 [14],i23,-16,-10,-10,FLOAT,-17,1,-
-,"d/f+1+2, F",mid,1.5,0.25,-,-,-,-,-,21 [25],i17,-1,+2 (OC),+2 (OC),FLOOR BREAK,-19,1,-
Snake Palm Fist,"SS 1, F",high,2,0,-,-,-,-,-,21 [25],i16,-11,0,0,FLOAT,-17,1,-
DURING TIGER,,,,,,,,,,,,,,,,,,
Tiger's Strike,TGR 1,mid,1.5,1,-,-,-,-,-,22 [26],i16,+2,+2,LAUNCH,FLOOR BREAK,-26,2,-
-,TGR 2,mid,2,0.5,SSL,high,-,-,-,12 [14],i15,-14,-3,-3,FLOAT,-32,1,-
Double Tiger Claw,"TGR 2, 2","mid, high",2,0.25,-,-,NO,NC,WALL BREAK / SPLAT,"12 [14], 14",i18,-8,S!,-,S!,-31,"1, 2",-
-,"TGR (2), 2",high,1.5,0.25,SWL / SWR,-,-,-,WALL BREAK / SPLAT,21 [25],i18,-8,KND,S!,S!,-31,2,-
Leaping Tiger,TGR 3,mid,2,0,SWR,low,-,-,WALL BREAK / SPLAT,28 [33],i17,-12,KND,KND,S!,-34,3,-
Leaping Tiger to Coiled Snake,"TGR 3, f+4","mid, low",2,0,-,-,-,-,-,28 [33],i17,-29,KND,-,S!,-46,"3, 2",-
-,"TGR [3], f+4",low,1.5,0.5,SWL / SWR,"high, mid",-,-,-,14 [16],i24,-29,KND,KND,FLOAT,-46,2,-
Tiger's Tail,TGR 4,low,2,0.75,SSR,-,-,-,-,12 [14],i15,-26,LAUNCH,LAUNCH,FLOAT,-34,1,-
Double Tiger Palm,TGR 1+2,mid,2.5,2,-,-,-,-,WALL BOUNCE,25 [30],i25,-7,KND,KND,FLOAT,-30,2,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,
Mauling Dragon,"f, F+2",mid,2,0.25,SSL,-,-,-,WALL BREAK / SPLAT,24 [28],i18,-12,+7,+7,S!,-34,2,-
Phoenix Wrath,PHX 2,mid,2,0.25,SSL,-,-,-,WALL BREAK / SPLAT,23 [27],i18,-12,S!,S!,S!,-34,2,-
RAGE MOVES,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) d/f+3+4,mid,3,0,-,-,-,-,-,55 [57],i20,-22,KND,KND,ACTIVATE,-44,2,-
Rage Drive 1,(During Rage) SNA 1+4,mid,2,4.5,-,-,-,-,WALL BREAK / SPLAT,40 [48],i20,+8,KND,KND,FLOAT,-32,2,-
Rage Drive 2,(During Rage) DRG 1+4,mid,2.5,3,-,-,-,-,WALL BREAK / SPLAT,40 [48],i17,+11,KND,KND,FLOAT,-30,1,-
Rage Drive 3,(During Rage) PAN 1+4,mid,2.5,1,SWL / SWR,-,-,-,WALL BREAK / SPLAT,"10 [12], 15",i12,-14,S!,S!,S!,-38,"2, 4",-
Rage Drive 4,(During Rage) TGR 1+4,mid,2.5,1,-,-,-,-,-,30 [36],i16,+14,LAUNCH,LAUNCH,FLOOR BREAK,-26,2,-
Rage Drive 5,(During Rage) CRA 1+4,mid,2,2,-,-,-,-,-,24 [28],i17,-8,LAUNCH,LAUNCH,BACK FLIP,-23,3,-
UNBLOCKABLE ATTACKS,,,,,,,,,,,,,,,,,,
Phoenix Strike,PHX f+4,!,3,-,-,low,-,-,-,45 [54],i65,!,KND,KND,FLOOR BREAK,-38,4,-
THROWS,,,,,,,,,,,,,,,,,,
Double Foot Stomp,Approach enemy... 1+3,high throw,1.5,-,-,-,-,-,-,35,i12,-6,KND,-,-,-24,3,-
Sleeper Hold,Approach enemy... 2+4,high throw,1.5,-,-,-,-,-,-,35,i12,-3,KND,-,-,-24,3,-
Double Foot Stomp,Approach enemy... f+1+3,high throw,2,-,-,-,-,-,-,35,i15,-6,KND,-,-,-32,3,-
Sleeper Hold,Approach enemy... f+2+4,high throw,2,-,-,-,-,-,-,35,i15,-3,KND,-,-,-32,3,-
Sailboat Stretch,Approach from left side... 1+3 (or 2+4),high throw,1.5,-,-,-,-,-,-,40,i12,-3,KND,-,-,-24,3,-
Closing Fan,Approach from right side...  1+3 (or 2+4),high throw,1.5,-,-,-,-,-,-,40,i12,-3,KND,-,-,-24,3,-
Windmill,Approach from behind... 1+3 (or 2+4),high throw,1.5,-,-,-,-,-,-,50,i12,-,KND,-,-,-24,3,-
Dragon Falls,Approach enemy... u/f+1+2,high throw,1,-,-,-,-,-,-,40,i12,-6,KND,-,-,-26,1,-
Tripping,"Approach enemy... f, F+1+2",high throw,1,-,-,-,-,-,-,38,i12,0,KND,-,-,-26,1,-
-,"WR f, f, F (Mid Screen)",mid,0,-,SSL / SSR,high,-,-,-,5,i16,-5 (BT),KND,-,-,-32,1,-
DURING TACKLE,,,,,,,,,,,,,,,,,,
-,(During Tackle) 1 (or 2),-,-,-,-,-,-,-,-,5,-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5",-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5, 5",-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5, 5, 15",-,-,KND,-,-,-,-,-
